Frame,FPS
313,5.87
314,5.86
315,5.86
316,5.86
317,5.86
318,5.86
319,5.86
320,5.86
321,5.86
322,5.86
323,5.86
324,5.86
325,5.86
326,5.86
327,5.86
328,5.85
329,5.85
330,5.85
331,5.85
332,5.85
333,5.85
334,5.85
335,5.85
336,5.85
337,5.85
338,5.85
339,5.85
340,5.84
341,5.84
342,5.84
343,5.84
344,5.84
345,5.84
346,5.84
347,5.84
348,5.84
349,5.84
350,5.84
351,5.84
352,5.84
353,5.84
354,5.84
355,5.84
356,5.83
357,5.83
358,5.83
359,5.83
360,5.83
361,5.83
362,5.83
363,5.83
364,5.83
365,5.83
366,5.83
367,5.83
368,5.83
369,5.83
370,5.83
371,5.83
372,5.83
373,5.83
374,5.83
375,5.83
376,5.83
377,5.83
378,5.83
379,5.82
380,5.82
381,5.82
382,5.82
383,5.82
384,5.82
385,5.82
386,5.82
387,5.82
388,5.82
389,5.82
390,5.82
391,5.82
392,5.82
393,5.82
394,5.82
395,5.82
396,5.82
397,5.82
398,5.82
399,5.82
400,5.82
401,5.82
402,5.82
403,5.82
404,5.82
405,5.82
406,5.82
407,5.82
408,5.82
409,5.82
410,5.82
411,5.82
412,5.82
413,5.82
414,5.82
415,5.82
416,5.82
417,5.82
418,5.82
419,5.82
420,5.82
421,5.82
422,5.82
423,5.82
424,5.82
425,5.82
426,5.82
427,5.82
428,5.82
429,5.82
430,5.82
431,5.82
432,5.82
433,5.82
434,5.82
435,5.82
436,5.82
437,5.82
438,5.82
439,5.82
440,5.82
441,5.82
442,5.82
443,5.82
444,5.82
445,5.82
446,5.82
447,5.82
448,5.82
449,5.82
450,5.82
451,5.82
452,5.82
453,5.82
454,5.82
455,5.82
456,5.82
457,5.82
458,5.82
459,5.82
460,5.82
461,5.82
462,5.82
463,5.82
464,5.82
465,5.82
466,5.82
467,5.82
468,5.82
469,5.82
470,5.82
471,5.82
472,5.82
473,5.82
474,5.82
475,5.82
476,5.82
477,5.82
478,5.82
479,5.82
480,5.82
481,5.82
482,5.82
483,5.82
484,5.82
485,5.82
486,5.82
487,5.82
488,5.82
489,5.82
490,5.82
491,5.82
492,5.82
493,5.82
494,5.82
495,5.82
496,5.82
497,5.82
498,5.82
499,5.82
500,5.82
501,5.82
502,5.82
503,5.82
504,5.82
505,5.82
506,5.82
507,5.82
508,5.82
509,5.82
510,5.82
511,5.82
512,5.82
513,5.82
514,5.82
515,5.82
516,5.82
517,5.82
518,5.82
519,5.82
520,5.82
521,5.82
522,5.82
523,5.82
524,5.82
525,5.82
526,5.82
527,5.82
528,5.82
529,5.82
530,5.82
531,5.82
532,5.82
533,5.82
534,5.82
535,5.82
536,5.82
537,5.82
538,5.82
539,5.82
540,5.82
541,5.82
542,5.82
543,5.82
544,5.82
545,5.82
546,5.82
547,5.82
548,5.82
549,5.82
550,5.82
551,5.82
552,5.82
553,5.82
554,5.82
555,5.82
556,5.82
557,5.82
558,5.82
559,5.82
560,5.82
561,5.82
562,5.82
563,5.82
564,5.82
565,5.82
566,5.82
567,5.82
568,5.82
569,5.82
570,5.82
571,5.82
572,5.82
573,5.82
574,5.82
575,5.82
576,5.82
577,5.82
578,5.82
579,5.82
