Frame,FPS
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,5.72
32,5.71
33,5.75
34,5.77
35,5.73
36,5.74
37,5.81
38,5.78
39,5.79
40,5.79
41,5.78
42,5.78
43,5.78
44,5.78
45,5.80
46,5.80
47,5.78
48,5.79
49,5.81
50,5.80
51,5.81
52,5.81
53,5.81
54,5.82
55,5.83
56,5.83
57,5.83
58,5.84
59,5.84
60,5.84
61,5.85
62,5.85
63,5.85
64,5.85
65,5.85
66,5.85
67,5.85
68,5.84
69,5.85
70,5.85
71,5.84
72,5.84
73,5.85
74,5.85
75,5.85
76,5.85
77,5.85
78,5.85
79,5.85
80,5.85
81,5.85
82,5.85
83,5.85
84,5.85
85,5.85
86,5.85
87,5.85
88,5.85
89,5.85
90,5.85
91,5.85
92,5.85
93,5.84
94,5.84
95,5.84
96,5.84
97,5.85
98,5.84
99,5.85
100,5.85
101,5.84
102,5.84
103,5.84
104,5.84
105,5.84
106,5.84
107,5.84
108,5.84
109,5.85
110,5.85
111,5.85
112,5.85
113,5.85
114,5.84
115,5.84
116,5.84
117,5.84
118,5.84
119,5.83
120,5.83
121,5.84
122,5.84
123,5.84
124,5.84
125,5.84
126,5.84
127,5.84
128,5.83
129,5.84
130,5.84
131,5.83
132,5.84
133,5.84
134,5.84
135,5.84
136,5.84
137,5.84
138,5.84
139,5.84
140,5.84
141,5.84
142,5.84
143,5.84
144,5.84
145,5.84
146,5.84
147,5.84
148,5.84
149,5.84
150,5.84
151,5.84
152,5.84
153,5.84
154,5.84
155,5.84
156,5.84
157,5.85
158,5.85
159,5.85
160,5.85
161,5.85
162,5.85
163,5.85
164,5.85
165,5.85
166,5.85
167,5.85
168,5.85
169,5.85
170,5.85
171,5.85
172,5.85
173,5.85
174,5.85
175,5.85
176,5.85
177,5.85
178,5.85
179,5.85
180,5.85
181,5.85
182,5.85
183,5.85
184,5.85
185,5.84
186,5.85
187,5.85
188,5.85
189,5.85
190,5.84
191,5.84
192,5.84
193,5.85
194,5.85
195,5.85
196,5.85
197,5.85
198,5.85
199,5.85
200,5.85
201,5.85
202,5.85
203,5.85
204,5.85
205,5.85
206,5.85
207,5.85
208,5.85
209,5.85
210,5.85
211,5.85
212,5.85
213,5.85
214,5.85
215,5.85
216,5.85
217,5.85
218,5.85
219,5.85
220,5.85
221,5.85
222,5.85
223,5.86
224,5.86
225,5.86
226,5.86
227,5.86
228,5.86
229,5.86
230,5.86
231,5.86
232,5.86
233,5.86
234,5.86
235,5.86
236,5.86
237,5.86
238,5.86
239,5.86
240,5.86
241,5.86
242,5.86
243,5.86
244,5.86
245,5.86
246,5.86
247,5.86
248,5.86
249,5.86
250,5.86
251,5.86
252,5.86
253,5.86
254,5.86
255,5.86
256,5.86
257,5.86
258,5.86
259,5.86
260,5.86
261,5.86
262,5.86
263,5.86
264,5.86
265,5.86
266,5.86
267,5.86
268,5.86
269,5.86
270,5.86
271,5.86
272,5.86
273,5.86
274,5.86
275,5.86
276,5.86
277,5.86
278,5.86
279,5.86
280,5.87
281,5.86
282,5.87
283,5.87
284,5.87
285,5.86
286,5.87
287,5.86
288,5.86
289,5.87
290,5.87
291,5.87
292,5.87
293,5.87
294,5.87
295,5.87
296,5.87
297,5.87
298,5.87
299,5.87
300,5.87
301,5.87
302,5.87
303,5.87
304,5.87
305,5.87
306,5.87
307,5.87
308,5.87
309,5.87
310,5.87
311,5.87
312,5.87
